,Name,Apps,Mins,Mins/Gm,Height,Weight,Age,Av Rat,Gls,Gls/90,Shot %,Pen/R,xG,Ch C/90,Asts/90,K Ps/90,Pas %,Cr C/A,Drb/90,Distance,Hdr %,K Tck,Fls,Int/90,Clear,Con/90,xSv %,Sv %,Svh,Svt,Svp,Pens Saved Ratio,PoM,Aer A/90,Off,Based,Tck R,CA,Saves,Saves/xSv%,Gls/xG,Dist/Mins,Transfer Value,Value
241,Yannis N'Gakoutou,11,975,88.63636364,177,77,24,7.25,2,0.18,0.2,1,4.19,2.34,0.09,0.92,0.92,0.07,0.46,143.1,0.7,3,8,3.97,63,0,0,0,0,0,0,0.91,1,8.12,2,France (National 2 Groupe C),0.91,94,0,0,0.477326969,0.1467692308,€40K - €425K,232500
242,Zvonimir Ziger,14,1196,85.42857143,193,84,29,7.37,2,0.15,0.22,0,0.22,0.15,0,0,0.86,0,0.08,43.7,0.82,1,17,0.53,48,0,0,0,0,0,0,0,0,5.12,0,Austria (ADMIRAL 2. Liga),0.93,98,0,0,9.090909091,0.03653846154,€0 - €75K,37500
243,Jozo Simunović,17,1538,90.47058824,191,81,28,7.31,4,0.23,0.38,1,3.98,0,0.06,0.06,0.99,1,0,172.1,0.91,3,8,2.57,162,0,0,0,0,0,0,0.91,2,14.69,1,Croatia (Prva HNL),0.91,119,0,0,1.005025126,0.1118985696,€150K - €1.5M,825000
244,Marko Stolnik,15,1266,84.4,186,82,26,6.99,1,0.07,0.21,0,1.81,0.21,0.07,0.21,0.91,0,0,146.5,0.75,1,9,1.92,115,0,0,0,0,0,0,0,2,14.5,1,Croatia (3. HNL Jug),1,104,0,0,0.5524861878,0.1157187994,€18K - €190K,104000
245,Mathías Laborda,22,1980,90,182,72,23,7.13,1,0.05,0.29,0,0.68,0.2,0.05,0.18,0.87,0,0.09,126.7,0.78,2,15,1.68,110,0,0,0,0,0,0,0,0,8.14,0,Uruguay (Campeonato Uruguayo),0.89,122,0,0,1.470588235,0.06398989899,€100K - €1M,550000
246,Strahinja Eraković,19,1669,87.84210526,184,75,21,7.03,1,0.05,0.2,0,0.99,0.22,0.05,0.32,0.88,0.37,0.05,136.9,0.8,5,20,1.51,88,0,0,0,0,0,0,0,0,5.77,0,Serbia (Super liga),0.89,126,0,0,1.01010101,0.08202516477,€450K - €4.6M,2525000
247,Cristian Trujillo,28,2551,91.10714286,174,64,24,7.09,1,0.04,0.4,0,0.12,0.36,0.07,0.35,0.8,0.11,0,82.9,0.71,0,25,0.28,17,0,0,0,0,0,0,0,0,0.85,0,Colombia (Categoría Primera A),0.86,106,0,0,8.333333333,0.03249705998,€16K - €150K,83000
248,Krešimir Krizmanić,16,1413,88.3125,188,83,22,7.08,2,0.13,0.67,0,1.3,0,0,0.25,0.96,0.37,0,162.2,0.89,3,3,2.61,137,0,0,0,0,0,0,0,2,11.21,1,Croatia (Prva HNL),0.85,117,0,0,1.538461538,0.1147912243,€375K - €3.8M,2087500
249,Sebastijan Antic,12,993,82.75,189,79,30,6.62,0,0,0,0,0.04,0,0,0.18,0.93,0,0,117.2,0.58,1,12,2.81,72,0,0,0,0,0,0,0,0,7.25,0,Croatia (Prva HNL),0.8,92,0,0,0,0.1180261833,€500 - €4.5K,2500
250,Pedro Santos,11,910,82.72727273,184,78,26,6.73,0,0,0.5,0,0.29,0.11,0,0.1,0.85,0,0,108.7,0.8,0,7,2.77,112,0,0,0,0,0,0,0,0,19.78,1,Portugal (Liga 3 Norte),0.83,88,0,0,0,0.1194505495,€18K - €60K,39000
251,Thibault Sinquin,11,899,81.72727273,183,73,30,6.74,0,0,0,0,0.65,0.25,0,0.4,0.91,0.5,0.2,112.3,0.73,1,17,2.3,67,0,0,0,0,0,0,0,0,10.91,1,France (National 2 Groupe C),0.9,93,0,0,0,0.124916574,€40K - €425K,232500
252,Mohamed Aïdara,13,1170,90,186,72,25,6.97,0,0,0.2,0,0.73,0,0,0.08,0.93,0,0.08,141.4,0.74,1,7,1.85,114,0,0,0,0,0,0,0,0,14.23,2,Portugal (Primeira Liga),0.86,114,0,0,0,0.1208547009,€95K - €950K,522500
253,Malcolm Barcola,15,1220,81.33333333,197,83,23,6.61,0,0,0,0,0,0,0,0.07,0.54,0,0,77.6,0,0,3,0,0,1.4,0,-0.01,5,10,21,0,0,0,0,France (Ligue 2),0,109,36,0,0,0.06360655738,€90K - €900K,495000
254,Anthony Walongwa,16,1440,90,188,80,29,7.49,0,0,0.18,0,0.38,0.25,0,0,0.78,0,0,21.5,0.82,0,27,0.19,22,0,0,0,0,0,0,0,0,2.38,0,France (National 3 Pays de la Loire),0.97,96,0,0,0,0.01493055556,€95K - €300K,197500
255,Hamza El Kaouakibi,11,1020,92.72727273,185,80,24,6.88,0,0,0.14,0,0.63,0.2,0.09,0.97,0.92,0.24,0.35,145.5,0.82,2,17,3.53,75,0,0,0,0,0,0,0,0,9.62,3,Italy (Serie B),0.95,98,0,0,0,0.1426470588,€45K - €425K,235000
256,Teddy Bouriaud,11,773,70.27272727,173,63,25,7.2,0,0,0.33,0,0.57,1.79,0.35,1.86,0.89,0.54,0.47,105.6,0.59,1,10,0.7,19,0,0,0,0,0,0,0,1,5.12,0,France (National 2 Groupe D),0.71,99,0,0,0,0.136610608,€50K - €500K,275000
257,Nianankoro Doumbia,11,885,80.45454545,181,80,26,7.09,2,0.2,0.13,0,0.95,3.12,0,1.12,0.9,0.22,0.61,121,0.91,0,16,1.83,20,0,0,0,0,0,0,0,0,5.59,0,France (National 2 Groupe B),1,96,0,0,2.105263158,0.1367231638,€16K - €160K,88000
258,José Costa,11,1020,92.72727273,187,79,28,7.01,0,0,0,0,0,0,0,0.18,0.41,0,0,64.1,0,0,0,0,0,0.97,0,-0.04,5,6,19,0,1,0,0,Portugal (Liga 3 Sul),0,100,30,0,0,0.06284313725,€8K - €80K,44000
259,Mahamadou Dramé,11,956,86.90909091,185,75,30,7.23,2,0.19,0.19,0,1.94,0.62,0,1.79,0.9,0.25,0.56,133.3,0.85,0,9,3.48,68,0,0,0,0,0,0,0,0,8.57,0,France (National 2 Groupe D),0.86,90,0,0,1.030927835,0.1394351464,€12K - €120K,66000
260,Simone Bonalumi,15,1313,87.53333333,193,75,27,6.74,0,0,0,0,1.56,0.18,0,0.27,0.91,0,0.14,140.9,0.87,2,20,1.65,140,0,0,0,0,0,0,0,0,16.45,3,Italy (Lega Nazionale Dilettanti C),1,96,0,0,0,0.1073115004,€6K - €60K,33000
261,Nicolas Tié,11,974,88.54545455,186,83,21,6.86,0,0,0,0,0,0,0,0.18,0.33,0,0,46.2,0,0,0,0,0,1.2,0,-0.02,10,5,21,0,0,0,0,Portugal (Liga 3 Norte),0,83,36,0,0,0.04743326489,€45K - €450K,247500
262,Matija Kovačić,13,1138,87.53846154,186,78,28,6.99,0,0,0,0,0,0,0,0.16,0.46,0,0,61.3,0,0,1,0,0,1.03,0,-0.02,10,6,9,0,0,0,0,Slovenia (2. SNL),0,87,25,0,0,0.05386643234,€24K - €85K,54500
263,Diogo Bianchi,11,990,90,191,74,25,7.24,1,0.09,0.18,0,1.04,0.22,0,0.27,0.92,0,0,114.5,0.87,4,3,3,124,0,0,0,0,0,0,0,1,16.91,0,Portugal (FPF Liga 3),0.83,99,0,0,0.9615384615,0.1156565657,€6K - €65K,35500
264,Nemanja Ćalasan,13,1170,90,189,80,26,7.03,0,0,0.17,0,0.29,0.22,0.08,1.15,0.87,0.39,0.62,145.7,0.9,1,18,1.85,66,0,0,0,0,0,0,0,1,7.62,3,Portugal (Liga Portugal 2),0.88,104,0,0,0,0.1245299145,€12K - €120K,66000
265,Ivica Batarelo,12,1023,85.25,184,81,24,6.65,1,0.09,0.25,0,0.38,0,0,0,0.96,0,0,108.1,0.79,1,2,1.94,92,0,0,0,0,0,0,0,1,10.21,0,Croatia (Prva HNL),0.86,101,0,0,2.631578947,0.1056695992,€65K - €210K,137500
266,Yann Kerboriou,16,1440,90,189,90,34,7.7,0,0,0,0,0,0,0,0,0.55,0,0,11.6,0,0,0,0,0,1.06,0,-0.66,1,0,0,0,3,0,0,France (National 3 Île-de-France),0,93,1,0,0,0.008055555556,€35K - €110K,72500
267,Sébastien Flochon,11,952,86.54545455,181,79,29,7.24,2,0.19,0.33,0,0.55,0.34,0.09,1.89,0.91,0,0,129.6,0.66,1,27,0.85,25,0,0,0,0,0,0,0,1,5.29,3,France (National 2 Groupe B),0.89,98,0,0,3.636363636,0.1361344538,€140K - €475K,307500
268,Sanin Muminovic,14,1260,90,183,74,31,6.83,0,0,0.2,0,0.34,0,0.07,0.29,0.82,0.5,0.21,56.4,0.82,0,19,0.29,8,0,0,0,0,0,0,0,1,1.57,0,Austria (ADMIRAL 2. Liga),0.84,96,0,0,0,0.04476190476,€6K - €65K,35500
269,Vice Baždarić,13,1055,81.15384615,187,76,22,6.8,0,0,0,0,0,0,0,0.17,0.4,0,0,45.3,0,0,0,0.09,0,1.11,-62.07,-0.04,11,3,14,0,1,0,0,Croatia (Druga HNL),0,98,28,-0.4511035927,0,0.04293838863,€30K - €300K,165000
270,Youssouf Ndiaye,11,961,87.36363636,190,82,27,7.11,2,0.19,0.25,0,1.31,2.11,0.19,1.59,0.89,0.53,0.28,127.3,0.78,1,27,0.56,22,0,0,0,0,0,0,0,1,6.27,1,France (National 2 Groupe C),0.6,93,0,0,1.526717557,0.1324661811,€150K - €500K,325000
271,Enis Çokaj,16,1390,86.875,176,83,23,6.72,1,0.06,0.67,0,0.29,0.37,0.13,1.29,0.91,0.36,0,186.5,0.6,0,29,1.04,37,0,0,0,0,0,0,0,0,2.78,0,Croatia (Prva HNL),0.76,123,0,0,3.448275862,0.1341726619,€120K - €1.2M,660000
272,Kamil Piątkowski,20,1756,87.8,191,83,22,7.27,2,0.1,0.28,0,1.89,0,0.26,0.97,0.93,0.27,0.62,237,0.8,5,20,2.72,118,0,0,0,0,0,0,0,0,10.2,3,Austria (Admiral Bundesliga),0.77,139,0,0,1.058201058,0.1349658314,€15M - €20M,17500000
273,Amar Dedic,20,1728,86.4,180,72,20,6.91,0,0,0,0,0.71,0.4,0.16,1.61,0.92,0.27,0.99,231,0.85,1,20,3.23,78,0,0,0,0,0,0,0,0,7.76,1,Austria (Admiral Bundesliga),0.78,132,0,0,0,0.1336805556,€13.5M - €17M,15250000
274,Racine Coly,11,990,90,185,70,26,7.05,1,0.09,0.75,0,0.44,0.18,0.18,1.45,0.93,0.25,0,139,0.68,1,19,2.18,47,0,0,0,0,0,0,0,1,6.64,1,Portugal (Liga 3 Norte),0.97,114,0,0,2.272727273,0.1404040404,€55K - €550K,302500
275,Paul Marie,21,1916,91.23809524,173,67,27,6.88,1,0.05,0.18,0,2.28,0.05,0.05,1.13,0.93,0.16,0.66,268,0.77,1,17,2.68,127,0,0,0,0,0,0,0,0,8.03,4,U.S.A. (MLS),0.79,96,0,0,0.4385964912,0.139874739,€14K - €130K,72000
276,Matej Senić,13,1104,84.92307692,187,83,27,7.12,1,0.08,0.06,0,1.75,0.29,0,0.33,0.95,0.66,0.08,141.5,0.77,0,24,1.14,29,0,0,0,0,0,0,0,1,9.13,1,Croatia (Druga HNL),0.8,91,0,0,0.5714285714,0.1281702899,€0 - €65K,32500
277,Andrew Thomas,33,2922,88.54545455,188,89,24,6.99,0,0,0,0,0,0,0,0.12,0.46,0,0,114,0,0,0,0,0,1.2,0,-0.02,17,12,42,0,2,0,0,U.S.A. (MLS),0,98,71,0,0,0.03901437372,€120K - €1.2M,660000
278,Miguel Oliveira,11,924,84,196,98,28,7.05,0,0,0,0,0,0,0,0.1,0.5,0,0,50,0,0,0,0,0,1.27,0,-0.04,7,10,17,0,1,0,0,Portugal (Liga 3 Norte),0,96,34,0,0,0.05411255411,€0 - €28K,14000
279,Eugene Cheberko,19,1582,83.26315789,184,66,24,6.71,0,0,0.2,0,0.13,0.25,0,0.46,0.93,0.42,0.34,192.1,0.82,2,12,2.5,86,0,0,0,0,0,0,0,0,10.3,1,Croatia (Prva HNL),0.63,115,0,0,0,0.1214285714,€30K - €300K,165000
280,Saša Novaković,12,1062,88.5,191,84,31,6.92,0,0,0.2,0,0.97,0,0,0.08,0.89,0,0.17,112.9,0.88,1,15,2.54,137,0,0,0,0,0,0,0,0,17.54,2,Croatia (Druga HNL),1,93,0,0,0,0.1063088512,€500 - €3.5K,2000
281,André Ferreira,13,1221,93.92307692,193,79,26,6.81,0,0,0,0,0,0,0,0.29,0.5,0,0,87,0,0,0,0,0,1.62,0,-0.02,11,12,25,0,1,0,0,Portugal (Primeira Liga),0.4,118,48,0,0,0.07125307125,€30K - €325K,177500
282,Léo Vieira,13,1108,85.23076923,193,77,32,7.05,0,0,0,0,0,0,0,0.16,0.45,0,0,68.6,0,0,1,0,0,0.57,0,-0.06,7,3,16,0,1,0,0,Portugal (Liga Portugal 2),0,98,26,0,0,0.0619133574,€0 - €50K,25000
283,Amine Oudrhiri,13,1170,90,180,64,29,6.68,0,0,0.25,0,1.65,0.5,0.08,0.54,0.92,0,0.15,162.7,0.61,0,22,0.92,28,0,0,0,0,0,0,0,1,4.69,0,Portugal (Liga Portugal 2),0.63,107,0,0,0,0.1390598291,€5K - €50K,27500
284,Tomás Händel,16,1238,77.375,180,69,21,6.79,0,0,0.2,0,1.91,0.88,0.15,1.02,0.94,0,0,168.3,0.68,0,18,1.24,36,0,0,0,0,0,0,0,0,4.07,0,Portugal (Primeira Liga),0.86,120,0,0,0,0.1359450727,€250K - €2.5M,1375000
285,Yannis Letard,11,946,86,188,86,24,6.77,0,0,0.13,0,1.09,0,0,0,0.94,0,0.1,108.7,0.82,0,13,1.71,106,0,0,0,0,0,0,0,0,13.51,2,Austria (Admiral Bundesliga),0.6,112,0,0,0,0.1149048626,€600K - €1.4M,1000000
286,Fidelis Irhene,13,1187,91.30769231,185,82,26,6.86,0,0,0,0,0.08,0.55,0,0.23,0.91,0,0.08,139,0.78,3,16,2.88,138,0,0,0,0,0,0,0,0,15.09,1,Portugal (Liga Portugal 2),0.8,95,0,0,0,0.1171019377,€2.5K - €24K,13250
287,Yassine Delbergue,11,974,88.54545455,173,69,31,7.13,1,0.09,0.14,0,0.5,0.09,0,0.55,0.83,0.5,0,43,0.55,0,7,0.55,8,0,0,0,0,0,0,0,0,1.02,0,Belgium (Eerste nationale),0.72,85,0,0,2,0.04414784394,€0 - €28K,14000
288,Anthony Marin,15,1263,84.2,187,78,33,7.24,0,0,0,0,0.24,0,0,0,0.73,0,0,10.5,0.94,0,17,0.29,14,0,0,0,0,0,0,0,0,1.14,0,France (National 3 Méditerranée-Corse),0.95,97,0,0,0,0.008313539192,€4K - €40K,22000
289,Pedro Silva,16,1304,81.5,189,79,25,6.76,0,0,0,0,0,0,0,0.21,0.39,0,0,86.7,0,0,0,0,0,1.45,0,-0.02,13,12,33,0,0,0,0,Portugal (Primeira Liga),0,114,58,0,0,0.06648773006,€9K - €90K,49500
290,Lucas Felippe,13,1117,85.92307692,184,74,22,7.04,0,0,0.18,0,1.11,0.19,0.24,1.13,0.93,0.6,0.64,144.9,0.58,0,19,1.29,21,0,0,0,0,0,0,0,1,6.2,1,Portugal (Liga Portugal 2),0.53,96,0,0,0,0.1297224709,€35K - €325K,180000
291,João Silva,11,990,90,189,76,24,7.15,0,0,0.08,0,1.55,0.1,0.09,0.36,0.92,0,0,107.5,0.81,0,8,2.73,104,0,0,0,0,0,0,0,0,14.27,0,Portugal (FPF Liga 3),0.88,101,0,0,0,0.1085858586,€3.5K - €35K,19250
292,Nikola Jambor,15,1163,77.53333333,188,79,27,7.02,1,0.08,0.43,0,2.21,0.22,0.08,1.16,0.92,0,0.15,160.8,0.58,1,25,1.63,31,0,0,0,0,0,0,0,0,6.04,0,Portugal (Liga Portugal 2),0.88,111,0,0,0.4524886878,0.1382631126,€150K - €500K,325000
293,Mateus Pasinato,15,1350,90,192,88,28,6.84,0,0,0,0,0,0,0,0.27,0.45,0,0,97.1,0,0,0,0,0,1.4,0,-0.02,13,6,37,0,1,0,0,Portugal (Liga Portugal 2),0.5,112,56,0,0,0.07192592593,€12K - €120K,66000
294,Bart van Rooij,13,1200,92.30769231,174,70,21,7.23,0,0,0.24,0,2.71,0.08,0.15,0.75,0.95,0.28,1.5,172,0.86,2,22,2.17,69,0,0,0,0,0,0,0,3,9.15,2,Holland (Eerste Divisie),0.76,121,0,0,0,0.1433333333,€650K - €6.4M,3525000
295,Sergiu Suciu,16,1414,88.375,184,76,32,6.92,2,0.13,0.31,0,1.51,0.6,0.13,0.95,0.94,0.2,0.19,172.8,0.69,1,19,1.02,22,0,0,0,0,0,0,0,0,4.71,0,Italy (Lega Nazionale Dilettanti E),0.91,101,0,0,1.324503311,0.1222065064,€75K - €250K,162500
296,Juary,12,1110,92.5,185,72,30,7.19,0,0,0.3,0,0.75,0.63,0.16,0.89,0.94,0.29,0.41,153.2,0.86,1,20,2.92,65,0,0,0,0,0,0,0,1,10.38,4,Portugal (Liga Portugal 2),0.93,101,0,0,0,0.138018018,€20K - €65K,42500
297,Rony Fernandes,13,998,76.76923077,194,92,25,6.87,0,0,0.3,0,1.64,0,0,0,0.93,0,0.18,114.5,0.87,2,12,1.98,105,0,0,0,0,0,0,0,0,14.34,0,Portugal (Liga Portugal 2),0.92,105,0,0,0,0.1147294589,€40K - €130K,85000
298,Igor Vekić,11,886,80.54545455,192,86,24,7.05,0,0,0,0,0,0,0,0.2,0.54,0,0,54.9,0,0,0,0,0,1.12,0,-0.02,4,5,14,0,1,0,0,Slovenia (1. SNL),0,109,23,0,0,0.06196388262,€26K - €275K,150500
299,Mario Burić,11,818,74.36363636,188,80,31,7.12,0,0,0.29,0,0.73,0.78,0.22,2.09,0.93,0.38,0.22,105,0.75,0,13,0.66,17,0,0,0,0,0,0,0,1,6.93,1,Croatia (Druga HNL),0.44,99,0,0,0,0.1283618582,€2.5K - €24K,13250
300,André Paulo,13,1200,92.30769231,188,76,25,6.58,0,0,0,0,0,0,0,0.07,0.44,0,0,70.8,0,0,1,0,0,1.27,0,-0.03,6,17,20,0,0,0,0,Portugal (Liga Portugal 2),0.5,96,43,0,0,0.059,€1K - €8K,4500
301,Jules Sylvestre-Brac,12,974,81.16666667,185,75,24,6.89,0,0,0,0,0.63,0,0,0.74,0.91,0.17,0.92,133.5,0.82,2,24,2.86,73,0,0,0,0,0,0,0,0,9.79,1,France (Ligue 2),0.88,108,0,0,0,0.137063655,€50K - €475K,262500
302,Léo Pétrot,15,1335,89,188,80,25,6.71,0,0,0.29,0,1.31,0.07,0,0.2,0.9,0,0.07,147.6,0.82,2,17,2.16,184,0,0,0,0,0,0,0,0,17.6,1,France (Ligue 2),0.67,100,0,0,0,0.1105617978,€35K - €325K,180000
303,Damian van Bruggen,13,1170,90,184,81,26,6.89,0,0,0,0,0.42,0.18,0,0.54,0.95,0,0.15,157.6,0.86,0,16,0.85,30,0,0,0,0,0,0,0,0,6.54,0,Slovenia (1. SNL),0.62,111,0,0,0,0.1347008547,€90K - €900K,495000
304,Luís Rocha,11,990,90,186,83,36,7.26,1,0.09,0.22,0,1.96,0.5,0,0.36,0.93,0,0,117.8,0.83,3,8,2.73,115,0,0,0,0,0,0,0,0,18.18,1,Portugal (Liga 3 Sul),0.88,91,0,0,0.5102040816,0.118989899,€8K - €26K,17000
305,Julián Illanes,11,990,90,188,75,25,6.98,0,0,0.2,0,1.22,0.1,0.09,0.18,0.93,0,0,114.9,0.84,0,12,3.73,124,0,0,0,0,0,0,0,0,17.73,1,Italy (Serie B),0.89,98,0,0,0,0.1160606061,€30K - €300K,165000
306,Tiago Cavadas,11,990,90,183,77,23,7.12,0,0,0.23,0,2.21,0,0.09,0.36,0.94,1,0,106.7,0.76,2,5,2.64,87,0,0,0,0,0,0,0,0,12.64,0,Portugal (FPF Liga 3),0.67,106,0,0,0,0.1077777778,€40K - €400K,220000
307,Théo Bloudeau,11,976,88.72727273,188,87,30,7.43,3,0.28,0.38,1,1.98,3.84,0.65,1.75,0.89,0.08,0.18,141.7,0.7,0,33,0.74,24,0,0,0,0,0,0,0.81,2,6.73,2,France (National 2 Groupe A),0.81,92,0,0,1.515151515,0.1451844262,€100K - €325K,212500
308,João Afonso,16,1440,90,188,81,32,7.04,2,0.12,0.25,0,0.63,0,0.06,0.06,0.95,0,0,172.9,0.81,3,7,1.75,132,0,0,0,0,0,0,0,1,14.69,0,Portugal (Primeira Liga),0.86,118,0,0,3.174603175,0.1200694444,€650K - €6.4M,3525000
309,DeJuan Jones,34,2990,87.94117647,176,75,25,6.84,0,0,0,0,0.27,0.12,0.03,0.99,0.9,0.18,0.45,337,0.66,5,44,2.14,126,0,0,0,0,0,0,0,0,5.27,3,U.S.A. (MLS),0.95,113,0,0,0,0.1127090301,€210K - €2.1M,1155000
310,Nick Olij,13,1170,90,188,80,27,7,0,0,0,0,0,0,0,0.15,0.43,0,0,78.8,0,0,0,0,0,1,0,-0.02,15,10,30,0,2,0,0,Holland (Eredivisie),1,113,55,0,0,0.06735042735,€1.1M - €2.5M,1800000
311,Ozkan Cetiner,11,927,84.27272727,178,71,21,7.22,1,0.1,0.11,0,0.24,0,0.1,0.29,0.8,0,0.19,38.9,0.38,1,20,0.49,5,0,0,0,0,0,0,0,0,1.55,0,Belgium (Eerste nationale),0.7,90,0,0,4.166666667,0.04196332255,€8K - €80K,44000
312,Luka Begonja,12,888,74,178,70,30,7.05,1,0.1,0.21,0,1.51,0.62,0.41,1.82,0.9,0.4,0.2,128.2,0.72,0,6,1.52,22,0,0,0,0,0,0,0,1,3.65,1,Croatia (Druga HNL),0.92,101,0,0,0.6622516556,0.1443693694,€14K - €140K,77000
313,Sean McDermott,28,2520,90,185,81,29,7.21,0,0,0,0,0,0,0,0.07,0.54,0,0,17.1,0,0,1,0,0,1.14,0,-0.12,3,0,8,0,0,0,0,Norway (Eliteserien),0,120,11,0,0,0.006785714286,€210K - €2.1M,1155000
314,Alessandro Livieri,12,1080,90,190,75,25,7.04,0,0,0,0,0,0,0,0.08,0.5,0,0,79.2,0,0,0,0,0,0.75,0,-0.06,8,6,7,0,0,0,0,Italy (Serie C/B),0,102,21,0,0,0.07333333333,€85K - €850K,467500
315,Igor Rodrigues,13,1230,94.61538462,191,85,27,7.16,0,0,0,0,0,0,0,0.07,0.48,0,0,86.2,0,0,0,0,0,1.02,0,-0.03,15,9,26,0,1,0,0,Portugal (Liga Portugal 2),0,110,50,0,0,0.07008130081,€24K - €240K,132000
316,Olexandr Noyok,18,1542,85.66666667,171,74,30,6.44,2,0.12,0.08,0,0.19,0.31,0,0.12,0.85,0.5,0.06,81.4,0.78,0,25,0.82,10,0,0,0,0,0,0,0,0,1.34,0,Cyprus (A' Katigorías),0.66,103,0,0,10.52631579,0.05278858625,€7K - €70K,38500
317,Marko Brtan,19,1726,90.84210526,189,80,31,6.93,1,0.05,0.2,0,0.22,0.1,0.1,0.42,0.86,0.2,0,123.2,0.85,1,22,0.42,35,0,0,0,0,0,0,0,0,3.55,0,Bosnia & Herzegovina (Liga 12),0.88,93,0,0,4.545454545,0.07137891078,€12K - €120K,66000
318,Adrien Delphis,11,889,80.81818182,180,70,19,6.62,0,0,0.36,0,0.98,0.1,0,1.32,0.87,0.17,2.53,131.6,0.31,0,11,1.62,4,0,0,0,0,0,0,0,0,6.88,4,France (Ligue 1),0.78,100,0,0,0,0.1480314961,€300K - €3M,1650000
319,Juri Gonzi,13,918,70.61538462,179,79,28,6.85,1,0.1,0.33,0,0.73,1.2,0.2,1.27,0.86,0.36,0.29,118.1,0.75,0,16,1.18,20,0,0,0,0,0,0,0,0,3.92,1,Italy (Lega Nazionale Dilettanti E),0.93,98,0,0,1.369863014,0.1286492375,€35K - €350K,192500
320,Kenneth Vermeer,27,2437,90.25925926,182,84,36,6.6,0,0,0,0,0,0,0,0.11,0.56,0,0,79,0,0,0,0,0,1.26,0,-0.01,4,8,25,0,1,0,0,U.S.A. (MLS),0.33,107,37,0,0,0.03241690603,€0 - €110K,55000
321,Stéphane Sparagna,11,968,88,186,82,27,6.96,1,0.09,0.22,0,1.38,0.23,0.09,0.28,0.94,0,0,108.6,0.7,1,5,2.23,111,0,0,0,0,0,0,0,0,14.6,0,France (National 2 Groupe C),0.73,106,0,0,0.7246376812,0.1121900826,€60K - €600K,330000
322,Grégoire Amiot,11,961,87.36363636,187,81,27,7.25,0,0,0.4,0,0.96,0.12,0,0.19,0.95,0,0.09,110.3,0.82,4,9,2.34,102,0,0,0,0,0,0,0,1,14.42,1,France (National 2 Groupe D),0.93,104,0,0,0,0.1147762747,€75K - €750K,412500
323,Patrick Rakovsky,26,2287,87.96153846,187,83,29,6.85,0,0,0,0,0,0,0,0.16,0.45,0,0,75.3,0,0,0,0,0,1.3,0,-0.03,15,13,18,0,2,0,0,U.S.A. (MLS),0,113,46,0,0,0.03292522956,€65K - €650K,357500
324,Maracás,17,1560,91.76470588,184,78,28,7.01,0,0,0.28,0,2.87,0.23,0,0,0.94,0,0.23,175,0.74,3,24,1.96,147,0,0,0,0,0,0,0,0,13.96,0,Portugal (Primeira Liga),0.84,124,0,0,0,0.1121794872,€1.8M - €4.2M,3000000
325,Boyd Lucassen,13,1145,88.07692308,173,71,24,6.9,1,0.08,0.25,0,0.61,0.17,0.08,0.94,0.89,0.21,0.47,147.4,0.76,1,17,1.97,64,0,0,0,0,0,0,0,0,7.07,7,Holland (Eredivisie),0.83,110,0,0,1.639344262,0.1287336245,€130K - €1.3M,715000
326,Simon Tibbling,11,794,72.18181818,175,74,28,7.36,1,0.11,0.4,0,0.19,0.23,0.34,0.57,0.86,0.66,0.11,41.7,0.73,0,14,0.11,7,0,0,0,0,0,0,0,0,1.25,1,Denmark (Superliga),0.69,117,0,0,5.263157895,0.05251889169,€150K - €1.5M,825000
327,Arnau Puigmal,12,1009,84.08333333,175,73,21,6.86,1,0.09,0.42,0,2.56,1.24,0.09,1.43,0.88,0.4,0.09,137.6,0.57,0,12,1.34,19,0,0,0,0,0,0,0,1,3.12,2,Portugal (Primeira Liga),0.76,110,0,0,0.390625,0.1363726462,€375K - €1.2M,787500
328,Valentin Vanbaleghem,13,1170,90,186,82,26,7.45,2,0.15,0.67,0,0.42,0.23,0.54,1.38,0.9,0.37,0.15,145.2,0.78,0,26,1.62,32,0,0,0,0,0,0,0,0,5.54,0,Belgium (1B Pro League),0.85,97,0,0,4.761904762,0.1241025641,€170K - €1.7M,935000
329,Henry Kessler,21,1885,89.76190476,194,84,24,6.84,0,0,0.2,0,0.27,0,0.05,0.14,0.9,0,0.19,187.2,0.76,0,16,2.2,177,0,0,0,0,0,0,0,0,13.03,0,U.S.A. (MLS),0.92,108,0,0,0,0.09931034483,€220K - €2.2M,1210000
330,Nicolas Lemaître,16,1440,90,189,83,25,7.36,0,0,0,0,0,0,0,0.12,0.61,0,0,94.7,0,0,0,0,0,0.62,0,-0.01,11,8,28,0,5,0,0,France (Ligue 2),0,104,47,0,0,0.06576388889,€75K - €750K,412500
331,Manu Hernando,12,952,79.33333333,183,70,24,7.23,2,0.19,0.36,0,1.46,0,0,0.09,0.93,0,0,112.8,0.75,2,6,3.59,112,0,0,0,0,0,0,0,1,12.76,0,Portugal (Liga Portugal 2),0.91,113,0,0,1.369863014,0.118487395,€210K - €700K,455000
332,Alec Georgen,16,1330,83.125,172,69,24,6.67,0,0,0,0,1.08,0,0.07,0.74,0.91,0.26,0.95,194.1,0.67,0,18,3.59,82,0,0,0,0,0,0,0,0,7.17,5,France (Ligue 2),0.93,108,0,0,0,0.1459398496,€30K,15001.5
