user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,is_retweet
Carlos Sagan,Massachussetts,Scientist by day. Screenwriter by night and weekend.,2018-04-17 0:06:25,2229,1855,11315,FALSE,2022-06-05 19:18:24,"“your words”
#FortniteSeason3 #blackchully #HaneyvsKambosos #PlatinumJubilee #RafaelNadal𓃵 #MotoGP https://t.co/LKfnezZNL6","['FortniteSeason3', 'blackchully', 'HaneyvsKambosos', 'PlatinumJubilee', 'RafaelNadal𓃵', 'MotoGP']",Twitter for iPhone,FALSE
Jung 📷89 Travel,California  Japan 🇨🇦,"♦
New Zealand, Singapore, Taiwan, Japan, S. Korea, Sina -🇦🇺🇯🇵🇭🇰🇹🇼🇨🇳🇰🇷
Lived in California, 

孟子: 民為貴, 社稷次之, 君為輕♥",2010-03-17 23:36:54,5088,4230,160717,FALSE,2022-06-05 19:18:16,"LOONA's Chuu might be removed from the group, based on her exclusion from the world tour
 #RolandGarros #RafaelNadal𓃵 

https://t.co/8cTWBH6Jgb

Updates♥...
Not LUNA Lunatic $BTC #Bitcoin☺...",['RolandGarros'],Twitter Web App,FALSE
Sinead McEneaney,"Birmingham, England","Historian @OU_history. Knows too much about the 1960s. Tweets mine, not my employer's. She/her 🇪🇺🇮🇪🇨🇦🏳️‍🌈",2009-02-18 22:58:34,2017,3221,8610,FALSE,2022-06-05 19:18:08,Just catching up on the men’s final. Complete masterclass from #RafaelNadal𓃵 . And surely it must silence all those who claimed that yesterday’s women’s final indicated some sort of talent gap in the women’s game. #RolandGaros,['RafaelNadal𓃵'],Twitter for iPhone,FALSE
CAJ💜,Scotland 🏴󠁧󠁢󠁳󠁣󠁴󠁿,Hockey is my happy place🏒🥅 Picture taker 📸 Proud to be Scottish🏴󠁧󠁢󠁳󠁣󠁴󠁿 Glasgow Clan 💜 Gran💙💙,2009-12-30 10:38:37,732,470,23442,FALSE,2022-06-05 19:17:59,"What a player 🥰🏆
#Legend #RafaelNadal𓃵 https://t.co/UHYdiMpyiP","['Legend', 'RafaelNadal𓃵']",Twitter for iPhone,FALSE
Adnan Nawari,"Sana'a , Yemen","عدنان النواري, اليمن 
Humanitarian Activities, Real Madrid Y Nada Mas
Yemen",2013-05-08 19:23:18,608,1310,73849,FALSE,2022-06-05 19:17:39,"Congrats King @RafaelNadal #RafaelNadal𓃵 
 #RolandGarros #Paris #HalaMadrid https://t.co/ZKzQLJSGuY","['RafaelNadal𓃵', 'RolandGarros', 'Paris', 'HalaMadrid']",Twitter Web App,FALSE
Paras Vikmani,Mumbai,29. Mumbaikar. Grateful. Liberal. Taurean. Lazy. Awkward. Listener. Observer. Dreamer. Funny. Caring.,2014-05-20 10:08:57,98,31,50350,FALSE,2022-06-05 19:17:34,Respect 🙏🏻 👏🏻 #RafaelNadal𓃵,['RafaelNadal𓃵'],Twitter for iPhone,FALSE
Kieran,,"30, Ryleigh's Padre, Long distance lover, Bernie style leftie, film buff, Nadal fanboy, @melissavcomedy superfan #LDR #FreePalestine #blacklivesmatter",2011-12-25 15:42:07,717,3522,46402,FALSE,2022-06-05 19:17:12,#RafaelNadal𓃵 is just so special https://t.co/HCIz1yGziu,['RafaelNadal𓃵'],Twitter Web App,FALSE
𝗖𝗵𝗲𝗻𝗻𝗮𝗶 𝗦𝗸𝗶𝗲𝘀,"Chennai, Tamil Nadu, India","Follow us to get instant updates on aviation, weather, astronomy & COVID19 travel requirements of Chennai/Madras

தமிழால் இணைவோம்!
DM always open for assistance",2020-07-19 12:24:41,4796,96,6750,FALSE,2022-06-05 19:16:58,"From 2008 #ChennaiOpen finalist to 2022 #FrenchOpen champion🏆

Literally the #GOAT with 22 #GrandSlam titles with 14 coming at #RolandGarros (:#KingOfClay)

#RafaelNadal𓃵 , we the #Chennai crowd still root for you. Way to go!! வாழ்த்துகள்!! https://t.co/u14hLY892I","['ChennaiOpen', 'FrenchOpen', 'GOAT', 'GrandSlam']",Twitter Web App,FALSE
Tracy,"Northbrook, IL","Mom of 2, dog mom of 3. Coach, Democrat, never Trumper. No DM please, I will not respond. Chicago Blackhawks, and Bears fan. Rescue pups rule!",2017-05-17 15:11:23,3319,4011,7328,FALSE,2022-06-05 19:16:47,#RafaelNadal𓃵 !  That’s the tweet.,['RafaelNadal𓃵'],Twitter for iPhone,FALSE
eleazar valdez,"Fresno, CA",Outreach Specialist at CVIIC in Fresno CA. I love  tennis and  photography. Views & Opinions on this account are mine alone,2009-12-13 5:33:56,550,420,28839,FALSE,2022-06-05 19:16:47,"My celebratory lunch, leftovers from yesterday’s dinner. #RafaelNadal𓃵 is the goat. https://t.co/cU0XnVnqNL",['RafaelNadal𓃵'],Twitter for iPhone,FALSE
Kevin McLaughlin,Liverpool,"Music (OASIS) Football (LIVERPOOL) are my life, Travelling and seeing the world, Sports, Movies, Ex Royal Navy, we get one life ❤️",2010-01-28 13:09:05,1495,3029,26229,FALSE,2022-06-05 19:16:05,"Congratulations @RafaelNadal 👏🏼 14 time French Open Champion is absolutely insane, what an achievement, legend 🎾 #RolandGarros #RolandGarros2022 #RafaelNadal𓃵 #FrenchOpen #NadalRuud https://t.co/ioPFWuP2ub",,Twitter for iPhone,FALSE
🇮🇳Shubh Ahirrao,"Pune, India","Future Entrepreneur...
MSDian...
Food lover...
Dhulekar...",2016-08-21 13:53:04,28,111,1557,FALSE,2022-06-05 19:16:03,"Congratulations on winning 22 Grand Slam &amp; 14th #RolandGarros 

Rafa and Clay court is never ending  story...
#kingofclay #RafaelNadal𓃵 https://t.co/VwbeagJGES",['RolandGarros'],Twitter for Android,FALSE
caroline 🌎,,"Stand up to the patriarchy which is undermining women's rights, earth rights &  animal rights.",2011-05-22 8:28:03,910,1768,44070,FALSE,2022-06-05 19:16:00,"The incredible Iga has no-one that can challenge her right now.

Great that she and @RafaelNadal are the two champions at @rolandgarros - do they do the dance together like at Wimbledon? Or has that all faded out?!

#IgaSwiatek 
#RafaelNadal𓃵 https://t.co/2tET6Q8PBx",,Twitter Web App,FALSE
Open Aart❌,,I am here to promote our NFT collection.I am create unique type of art work.we need your love and support 🙏🙏,2022-06-03 18:51:31,13,33,53,FALSE,2022-06-05 19:15:59,"Hey guys I am launching our NFT collection.

Be ready!!

#NFTs #blackchully #ondo #Airdrops #BTS #Crypto #PrideMonth #PlatinumJubilee #Rolex #RafaelNadal𓃵 #ITZY #insiders #TikTok #MotoGP #Qatar2022 #loveydovey157 #HAECHAN","['NFTs', 'blackchully', 'ondo', 'Airdrops', 'BTS', 'Crypto']",Twitter for Android,FALSE
Harshit Mantri,Kolkata,CA || Cleared all three levels of CFA Program. Equity Research as Profession. #Cricket #Tennis #Bollywood,2009-07-22 10:22:04,50,166,1156,FALSE,2022-06-05 19:15:35,Judge the book by its cover 🔥 #RafaelNadal𓃵 #RafaelNadal #RollandGarros #FrenchOpen #GOAT #kingofclay https://t.co/hSm37Q7I6i,"['RafaelNadal𓃵', 'RafaelNadal', 'RollandGarros', 'FrenchOpen', 'GOAT', 'kingofclay']",Twitter for Android,FALSE
Suraj Suresh,"Bengaluru, India","Biotech Engineer | Corp Comm | Fmr Bureau Chief (Karnataka) India Ahead News,  correspondent/Anchor at NEWS9 | ENBA Awardee,2018 | Beatboxer @ No Treble",2017-10-07 9:12:21,1142,485,5435,TRUE,2022-06-05 19:15:18,"#RafaelNadal𓃵 the GOAT! 

Winning #FrenchOpen 14 times is not a joke! He's 35 yet he's at his best form! 

#VamosRafa #RafaelNadal","['RafaelNadal𓃵', 'FrenchOpen', 'VamosRafa', 'RafaelNadal']",Twitter for Android,FALSE
Sam🍨,,,2019-11-15 13:52:44,21,33,14969,FALSE,2022-06-05 19:14:50,"@AmyLundyDahl I’m not crying, you are 🥹 Magical moment #RafaelNadal𓃵  and he was THIRD favourite😒 Can’t wait to listen to you guys @Gill_Gross 🤩",['RafaelNadal𓃵'],Twitter for iPhone,FALSE
Vaibhav Mishra,New Delhi,"Work: @InKhabar | Reading/Writing: Politics, History, Foreign Affairs | Believe in The Power of Words | Humanity is Priority | Study: @IIMTnoida",2018-01-10 5:11:39,2931,808,40125,FALSE,2022-06-05 19:14:37,"Yes, It's his territory! 🏆

RAFA, King of Clay 👑🎾❤️

#RolandGarros #RafaelNadal𓃵 https://t.co/AXzpNoF3LE","['RolandGarros', 'RafaelNadal𓃵']",Twitter for Android,FALSE
BorasLegend,Sweden,Content creator for @futbolistco. Sweden's team captain 🎮https://t.co/QU3YBC5W0p Contact: boraslegend@digitalsportsmgmt.com,2011-10-07 15:00:38,87837,310,14114,TRUE,2022-06-05 19:14:28,"14 out of 17 titles in the French Open.
112-3 record.

For sure one of the greatest sporting achievement ever, if not the greatest. Just unbelievable. #RafaelNadal𓃵 https://t.co/K90Fks4xGe",,Twitter for iPhone,FALSE
nsym:saleh | ‎نسيم صالح,"Jeddah,Kingdom of Saudi Arabia",My family is everything in my life.🤍 Baby boomers'1996/6/16I:  love football⚽️ 🏆 Lord my mother every day.👵🏻🤍 myloveforher :#Yémen. 🇾🇪❤️,2017-09-04 2:53:11,85,354,1062,FALSE,2022-06-05 19:13:58,"King of grand slams👑🥎.            
Breaking his own records 🦾
@RafaelNadal - now the owner of 14 #RolandGarros  titles and 22 Grand Slam titles 🏆🥇🎖🥎🏸
#رولان_غاروس
#rolandgarros  
#RolandGarros   
@RafaelNadal
 #RafaelNadal𓃵 https://t.co/40tf3hAjMW",['RolandGarros'],Twitter for iPhone,FALSE
Playboy Genius,"Enugu, Nigeria",Mech Engr | #MUFC | AI Enthusiast | Obsessed with Tony Stark | Introvert | Je parle française très bien,2019-06-26 7:19:30,171,389,4011,FALSE,2022-06-05 19:13:46,"Rafael Nadal has played 105 clay soil matches, losing only 3. Has won on this ground 14 times in the past 17 years. 2/3 loses were due to injuries. I know my GOAT.

#RollandGarros #RafaelNadal𓃵 https://t.co/zLK2683wfz",,Twitter Web App,FALSE
Ahsan,پاکستان,"First and foremost ALHAMDULILLAH for everything😊
Sports Freak 💯|
Chelsea till I die💙|
Rafael Nadal🏆|
Tom Hardy🎩📴🖤|
Dr. House😍",2014-04-21 5:50:03,140,183,3881,FALSE,2022-06-05 19:13:01,"This Mentality!!
Only ONE RAFA... GOAT!
#Rafa #GOAT #RollandGarros #RafaNadal #RafaelNadal𓃵 #kingofclay https://t.co/ul6hUViHop","['Rafa', 'GOAT', 'RollandGarros', 'RafaNadal', 'RafaelNadal𓃵', 'kingofclay']",Twitter for Android,FALSE
Crucial News India,India,Crucial & to the Point News.,2022-06-01 18:17:49,7,1,0,FALSE,2022-06-05 19:12:41,"Rafael Nadal claims record 14th French Open Title, defeats Casper in straight sets
Read more: https://t.co/MhgpnMQ0eZ

#news  #RafaelNadal𓃵  #sport  #Tennis  #FrenchOpen2022  #casperrudd  #GrandSlam https://t.co/W4FbsSNAoD",,Twitter Web App,FALSE
No One Negative Face,"London, England",❤️Rafael Nadal. Tennis.,2017-08-10 17:44:36,687,1022,21688,FALSE,2022-06-05 19:12:34,"Probably his Greatest win ever ❤️

#RafaelNadal𓃵 https://t.co/Io7gK91dXL",['RafaelNadal𓃵'],Twitter for iPhone,FALSE
meli & joy ! st4,chaennie ♡,"⠀⠀ ⠀⠀ ⠀⠀ ⠀ 80s, lana del rey & música.⠀⠀ ⠀ ⠀⠀ ⠀ ⠀⠀ ⠀ ⠀⠀ ⠀ ⠀⠀ ⠀",2021-05-29 0:26:09,550,550,857,FALSE,2022-06-05 19:12:25,#동혁아_스물셋_해찬이를_잘부탁해 HAPPYHAECHANDAY       #PlatinumJubilee         #23SummersWithHaechan     #سكربت20     #RafaelNadal𓃵       #復活してほしいゲーム  https://t.co/QnvICHZp3I,"['동혁아_스물셋_해찬이를_잘부탁해', 'PlatinumJubilee', '23SummersWithHaechan', 'سكربت20']",Twitter for iPhone,FALSE
気まま 🥞,Japan,"Rafael Nadal ❤
気ままにやってます。フォロバは期待しないでください。",2021-07-30 18:22:34,11,37,10271,FALSE,2022-06-05 19:12:16,"Rafael Nadal's Interview after winning 14th Roland-Garros | Roland Garros 2022 | Eurosport Tennis https://t.co/pNSFpAFkBq 
#RafaelNadal𓃵",['RafaelNadal𓃵'],Twitter Web App,FALSE
Adnan Nawari,"Sana'a , Yemen","عدنان النواري, اليمن 
Humanitarian Activities, Real Madrid Y Nada Mas
Yemen",2013-05-08 19:23:18,608,1310,73849,FALSE,2022-06-05 19:11:53,Congrats King @RafaelNadal #RafaelNadal𓃵 #RolandGarros https://t.co/9jtXYI9h2H,"['RafaelNadal𓃵', 'RolandGarros']",Twitter Web App,FALSE
Kayz,London,Tennis and classical movies 🤎,2011-08-31 14:59:48,144,361,1497,FALSE,2022-06-05 19:11:00,"@rolandgarros The legend has done it again.
Bravo Rafa on your 22 win today
#RafaelNadal𓃵 #22 #14 #RolandGarros","['RafaelNadal𓃵', 'RolandGarros']",Twitter Web App,FALSE
Outside Thinker,,,2020-03-27 5:29:19,360,369,7870,FALSE,2022-06-05 19:10:48,🐐 forever and always #RafaelNadal𓃵 https://t.co/InVRqqUOWJ,['RafaelNadal𓃵'],Twitter for Android,FALSE
OGHALE,"Lagos,Nigeria","I don't seek for attention but I get it. I'm just a lady with big dreams. I enjoy being natural,I'm just me. #Teamnomakeup",2010-10-26 9:08:52,159,293,695,FALSE,2022-06-05 19:10:32,"We worship the Spirit of God the Father(Father of our Lord Jesus Christ) that is seated on the Great White Throne and him only shall we serve in Jesus name, Amen! #UkraineWar #WWE #blackchully #WorldEnvironmentDay #ENGvsNZ #EMF2022 #RafaelNadal𓃵 #TikTok #YuzuruHanyu #ITZY #ondo",,Twitter for iPhone,FALSE
M. Paget Brewster 🇺🇦,🇺🇸/🇪🇺,"HW Twitter’s most beloved dermatologist, and unfairly-maligned willain. Dual citizen 🇺🇸/🇪🇺. Polyglot. Tweets also re: 🎾, and geopolitics. Not the actress.",2012-11-24 1:02:56,2404,2132,102147,FALSE,2022-06-05 19:10:09,"When people try to use the fact that 14 of #Rafa’s slams have come at #RolandGarros to undermine his being the #GOAT, they ignore the fact that he’s won each major at LEAST twice. Federer only won the French once, in a year where Rafa was upset by another player. #RafaelNadal𓃵 https://t.co/sYPBhFKs7O","['Rafa', 'RolandGarros']",Twitter for iPhone,FALSE
Shaleen Kaushal,India,,2009-12-04 13:11:18,40,410,469,FALSE,2022-06-05 19:09:42,"#14 FO and GS#22 for Rafa. This record is here to stay, don’t see anyone breaking French open record for a long long time. #FrenchOpen2022 #RafaelNadal𓃵 https://t.co/YcAcyQHa4M",,Twitter for iPhone,FALSE
Adam Roche,,Writer. Producer. BBC Presenter. Dork. Creator of @moviehistories @attaboyc and @HouseHammerPod https://t.co/hiX4iBfivh Enquiries contact @StewartJessi,2008-07-14 13:01:13,2114,622,17497,FALSE,2022-06-05 19:09:10,"Since 2005, @RafaelNadal has only conceded the @rolandgarros title four times.
#tennis #RafaelNadal𓃵 #RolandGarros #RolandGarros2022 https://t.co/CxunU0buS1","['tennis', 'RafaelNadal𓃵', 'RolandGarros']",Twitter for iPhone,FALSE
気まま 🥞,Japan,"Rafael Nadal ❤
気ままにやってます。フォロバは期待しないでください。",2021-07-30 18:22:34,11,37,10271,FALSE,2022-06-05 19:08:56,"22 of Rafael Nadal's Best Moments at the US Open! 
#RafaelNadal𓃵 
https://t.co/4mF331By4Q via @YouTube",['RafaelNadal𓃵'],Twitter Web App,FALSE
Chirag Sarikhada,"Gujarat, India",Dare To Be Different || Addi - SE || Engineer (View Expressed Are Personal) (Retweet Is Not Endorsement) - Stubborn Optimist,2022-03-02 11:26:09,6,123,444,FALSE,2022-06-05 19:08:38,"To Go Out There And Win A Record 14 @rolandgarros And 22nd Grandslam At The Age Of 36 Is An Incredible Achievement You're Inspiration For Every Kid Around The World Congratulations @RafaelNadal 
#RafaelNadal𓃵 
#RollandGarros2022 https://t.co/tl7REr25wW",,Twitter for Android,FALSE
Alankrit Mathur,"Noida, India","God Shiva follower, lover of sport and practise meditation, blogger.",2015-08-06 18:25:05,258,2268,8074,FALSE,2022-06-05 19:08:29,"Congratulations @RafaelNadal on your 14th Roland Garros title🙌. Thank you for the entertainment, well played legend. #RafaelNadal𓃵 #RolandGarros",,Twitter for Android,FALSE
khuzik,Sharjah,,2009-06-24 15:33:59,207,144,482,FALSE,2022-06-05 19:08:22,"Years go by, but some things don't change.. Back to the throne.. #kingofclay #RafaelNadal𓃵 #RolandGarros","['kingofclay', 'RafaelNadal𓃵', 'RolandGarros']",Twitter for Android,FALSE
DeportesOlímpicos,,Los Juegos Olímpicos y los deportes son felicidad,2022-04-22 17:33:53,12,118,68,FALSE,2022-06-05 19:08:06,"Los 2️⃣2️⃣ Grand Slams de Rafa Nadal. 

1️⃣4️⃣ #RolandGarros 
4️⃣ #USOpen 
2️⃣ #Wimbledon
2️⃣ #OpenDeAustralia 

#Tenis #GOAT #RafaelNadal𓃵 https://t.co/W4ZOGYpmYs","['RolandGarros', 'USOpen', 'Wimbledon', 'OpenDeAustralia']",Twitter for Android,FALSE
sonja matschuck,"montreal, canada",sharing what speaks to me! #Peace #Equality #HumanRights #Empath #Survivor #NarcissistAbuse  #BlacklivesMatter #LGBTQIA #AntiOppression,2010-01-13 23:15:16,1114,2246,32381,FALSE,2022-06-05 19:08:03,@CaraZenTales It was a Smoooooooth win! #RafaelNadal𓃵,['RafaelNadal𓃵'],Twitter Web App,FALSE
India News,India,"Visit http://t.co/cgbxFpcQx2 for the best India news, India blogs on the internet.",2008-11-06 19:17:29,3396,1569,0,FALSE,2022-06-05 19:08:02,"Latest twitter trends in #India:

1. #ShameOnBJP
2. #NupurSharma
3. #RafaelNadal𓃵
4. #RadhikaMerchant
5. Qatar
6. #RolandGarros
7. Arab
8. GET WELL SOON SRK
9. Wales
10. Fringe","['India', 'ShameOnBJP', 'NupurSharma', 'RafaelNadal𓃵', 'RadhikaMerchant']",dailyindia,FALSE
Roberta Vinci,,"C'è chi è nato con la camicia, io sono nata con la racchetta.  Ex giocatrice professionista di tennis, ora commentatrice per Eurosport e giocatrice di padel.",2011-11-11 20:38:33,160099,511,2686,TRUE,2022-06-05 19:08:02,"You’re a champion, a legend and a true inspiration! Congrats Rafa! #Nadal #RafaelNadal𓃵","['Nadal', 'RafaelNadal𓃵']",Twitter for iPhone,FALSE
Deepak Kher 🇮🇳,Pune,Army Veteran. Keen observer of the political scene. Comments on all aspects that affect common citizens. Amateur photographer too,2009-06-03 14:31:50,342,121,1987,FALSE,2022-06-05 19:07:51,"#RafaelNadal𓃵 wins #FrenchOpen2022, shows he is the #kingofclay. With Federer and Djokovic in decline, he is sure to be the Greatest for quite some time","['RafaelNadal𓃵', 'FrenchOpen2022', 'kingofclay']",Twitter Web App,FALSE
Muna Al Khalil,"Amman, Jordan",PADI Scuba Diving Instructor. Shark fanatic. Environment enthusiast. Armin Van Buuren and Bryan Adams anytime anywhere.,2012-05-06 20:08:48,121,75,6337,FALSE,2022-06-05 19:06:52,#RafaelNadal𓃵 Wow 👏🏼👏🏼👏🏼 Incredible 🙏🏼🙏🏼🙏🏼 Legendary 💪🏼💪🏼💪🏼 #KingOfClay Congratulations Nadal 🤩🤩🤩❤❤❤ No one is more worthy. What a warrior 🙏🏼🙏🏼🙏🏼,"['RafaelNadal𓃵', 'KingOfClay']",Twitter for Android,FALSE
Fact Spitter Guy,,I only speak facts and nothing else.,2016-08-30 9:17:22,6,17,0,FALSE,2022-06-05 19:06:49,RAFA IS THE GOAT!! #RolandGarros2022 #rafanadal #FrenchOpen #RafaelNadal𓃵,"['RolandGarros2022', 'rafanadal', 'FrenchOpen', 'RafaelNadal𓃵']",Twitter for iPhone,FALSE
Mitesh Chavda,Nairobi,"Sports correspondent with @Radio44Kenya,
Co-Founder OLSC Kenya (@KopKenya), #LFC, #Proteas,  &'Sunday-Pro' golfer ,overall, a sport enthusiast",2011-06-25 8:11:16,495,499,77694,FALSE,2022-06-05 19:06:47,@rolandgarros @RafaelNadal RAFA reigns supreme once again on clay #FrenchOpen2022 #KingofClay #RafaelNadal𓃵 #RafaNadal,"['FrenchOpen2022', 'KingofClay', 'RafaelNadal𓃵', 'RafaNadal']",Twitter for Android,FALSE
Rahul vats,"New Delhi, India","love following passion
Damn the consequences
love public speaking
love motivating people,
cricket❤
#Parallelcosmos

मैं रहुँ या ना रहुँ भारत ये रहना चाहिए 🇮🇳",2020-01-21 9:24:32,75,777,46421,FALSE,2022-06-05 19:06:35,"#RafaelNadal𓃵 
#RafaelNadal 
Take a  bow 🙏
Champion @RafaelNadal https://t.co/lamErWIJuO","['RafaelNadal𓃵', 'RafaelNadal']",Twitter for Android,FALSE
Lewis Hamilton 4️⃣4️⃣🏁🏁🏆🏆🏆🏆🏆🏆🏆🍀,Av. La plata 1700 (Boedo),"#SanLorenzo vuelve a #Boedo 
Todos juntos podemos 💪💙❤💙",2011-03-21 22:53:34,7621,305,278993,FALSE,2022-06-05 19:06:28,@Argentenista @atptour Excelente y felicidades para #RafaelNadal𓃵 1️⃣4️⃣💯🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🥂🍾🍾🍾🍾🍾 https://t.co/4NYtbOAE4N,['RafaelNadal𓃵'],Twitter for Android,FALSE
ΛMIƬ PΛПDΣY 👨‍💻 アミット 🇮🇳😷,"Ranchi, India","💻 𝐏𝐫𝐨𝐠𝐫𝐚𝐦𝐦𝐞𝐫 by Education,💲i͎n͎v͎e͎s͎t͎o͎r͎ by Passion.   ❤️@msdhoni 💪  🄲🅁🄸🄲🄺🄴🅃 🏏  History🪐  #KPOP  #BTS      📊Aspiring Data Scientist 📈",2013-06-20 13:40:42,3010,1358,130643,FALSE,2022-06-05 19:06:15,"#RafaelNadal𓃵  : ""The King of Clay Court"" won his first major at the French Open 17 years ago today. He wins the French again today, his 14th, and his 22nd win at a Major. Unreal in the best way 👏
We always age in our mind, not in our beliefs !!!
#FrenchOpen2022 #FrenchOpen https://t.co/QaQR5ueXDS",['RafaelNadal𓃵'],Twitter for Android,FALSE
Stefan Markovic,Canada,,2013-07-09 2:18:09,194,764,47729,FALSE,2022-06-05 19:05:59,@rolandgarros @RafaelNadal So when do the rename the tennis grounds after #RafaelNadal𓃵,['RafaelNadal𓃵'],Twitter for iPhone,FALSE
Mohamed Areesh  @®®@ ,Maldives,Works at Official Residence of the President of Republic of Maldives - Muleeaage 🇲🇻🇲🇻 🌴🌴🌴 ޖަޒީރާ ރާއްޖެ 🌴🌴🌴.,2010-10-12 11:11:49,868,808,33179,FALSE,2022-06-05 19:05:57,"Number 22 😉

That’s the tweet 🥳🥳

Good nite 😴😴

#Rafa #🐐 #🎾 #GrandSlam #Nadal #Record #Legend #RolandGarros #Tennis #RafaelNadal𓃵  #2022","['Rafa', 'GrandSlam', 'Nadal', 'Record', 'Legend', 'RolandGarros', 'Tennis', 'RafaelNadal𓃵']",Twitter for iPhone,FALSE
Dr Palash Agrawal,"Indore,India",Pediatrician and Neonatologist.And a bit of United and sports freak....,2012-05-01 15:15:27,2440,672,14450,FALSE,2022-06-05 19:05:37,"You can be a massive Roger Federer fan
I am

But you can have nothing but massive massive amounts of respect for #RafaelNadal𓃵

Top player
Great sport
Worthy champion",,Twitter for Android,FALSE
kalyan srivatsava,,,2014-08-09 18:53:16,10,138,358,FALSE,2022-06-05 19:05:13,"05.06.2005 - 19 year Rafa Nadal's FIRST GS
05.06.2022 - 36 year Rafa Nadal's TWENTY SECOND GS (14th RAFA GARROS)
If the word consistency needs an example, this is the best one!
 #22nd #14th #RafaelNadal𓃵 @RafaelNadal https://t.co/cXg0nJYyMe",,Twitter for Android,FALSE
skyp,,winners don't exucuse.....,2020-11-22 7:17:51,14,80,91,FALSE,2022-06-05 19:05:06,"The king of clay .....Rafeael Nadal the goat.........🏆 2005
🏆 2006
🏆 2007
🏆 2008
🏆 2010
🏆 2011
🏆 2012
🏆 2013
🏆 2014
🏆 2017
🏆 2018
🏆 2019
🏆 2020
🏆 2022
Goat 🐐 ❤️🎾🫶
#RafaelNadal𓃵 https://t.co/mrMD2nCit0",,Twitter for Android,FALSE
nJ,Lahore,Don't care what you say about me I like the way I am.,2009-09-02 10:01:20,1586,1070,42307,FALSE,2022-06-05 19:04:32,"🏆 2005
🏆 2006
🏆 2007
🏆 2008
🏆 2010
🏆 2011
🏆 2012
🏆 2013
🏆 2014
🏆 2017
🏆 2018
🏆 2019
🏆 2020
🏆 2022
Goat 🐐 ❤️🎾🫶
14th #FrenchOpen and 22nd #GrandSlams
#RafaelNadal𓃵 https://t.co/3EWNDaGTmH",,Twitter for Android,FALSE
Raj 🐝,"Philadelphia, PA","Passionately tweeting about NBA Basketball, Tennis, Superheroes, Biomedical Engineering, Travel, Medicine, Playstation, and all things #Fanboy.",2009-05-19 2:57:18,793,665,7740,FALSE,2022-06-05 19:04:13,@mayasplanet @Real_J_Eddy too late 🐐 #RafaelNadal𓃵 https://t.co/vruW8sPCzC,['RafaelNadal𓃵'],Twitter Web App,FALSE
𝒯𝒽𝑜𝓂𝒶𝓈 𝒮𝒽𝑒𝓁𝒷𝓎,small heath Birmingham,You have to get what you want your own way.,2022-04-06 11:38:48,119,140,448,FALSE,2022-06-05 19:03:33,"Rafael Nadal is the GOAT of Tennis 🐐
#RafaelNadal𓃵",['RafaelNadal𓃵'],Twitter for Android,FALSE
Ateesh,"London, England","Sports enthusiast, Chelsea FC fan. Views are personal and open to debate!",2015-09-12 18:52:08,96,132,55947,FALSE,2022-06-05 19:03:03,#RafaelNadal𓃵 he is at a different level as a person and as an athlete #FrenchOpen #Nadal14 #Nadal22 https://t.co/hxRALX4Oi7,"['RafaelNadal𓃵', 'FrenchOpen', 'Nadal14', 'Nadal22']",Twitter for iPhone,FALSE
"Love, David ♎",Only heaven knows,Integrity & loyalty are ☈are yet achievable. Love ❤️ WILL ALWAYS be greater than hate. Opinions expressed are my own. 💕 🎾 Avid tennis lover!!! 🌈,2009-05-22 20:18:34,553,341,2558,FALSE,2022-06-05 19:02:47,Quite an amazing accomplishment #14 #RolandGarros … #RafaelNadal𓃵 #22 #SinglesGrandSlamTitles .@RafaelNadal KEEP FIGHTING #VamosRafa https://t.co/DBvyCjCWZ0,"['RolandGarros', 'RafaelNadal𓃵', 'SinglesGrandSlamTitles']",Twitter for iPad,FALSE
Mansoor Sherwani,"Islamabad, Pakistan",Avid supporter of #PTI . Follow me for follow back ... SUBSCRIBE TO my Youtube Channel for Imran Khan Videos and Share them as well!! Member of @wildlifeboard,2014-10-28 21:15:38,2015,4134,13730,FALSE,2022-06-05 19:02:41,"Congratulations #RafaelNadal on winning the #RolandGarros for a record 14th time &amp; on clinching your 22nd Grand Slam!

Mate you defy the odds every-time, age really is just a number for you! Keep going strong champion 🏆 #RafaelNadal𓃵","['RafaelNadal', 'RolandGarros']",Twitter for Android,FALSE
Loco719,,,2015-06-28 16:47:51,591,701,2993,FALSE,2022-06-05 19:02:39,"If I could supply you with a device that could power your BTC mining or electricity in your house &amp; it doesn't need batteries, diesel, or a power source. Free electricity... Would you get it??
#RafaelNadal𓃵 #sundayvibes #BTC #insiders #free #Giveaway #ElonMusk",,Twitter for Android,FALSE
Lenin Mohanty,"Bengaluru, Karnataka",Subscribe To My YouTube Channel . Below is the given link .,2013-03-21 18:24:17,192,256,39,FALSE,2022-06-05 19:02:21,"Victory Belongs To The Most Tenacious
#RafaelNadal𓃵 #VamosRafa #Nadal https://t.co/8cjiC7GmZ4","['RafaelNadal𓃵', 'VamosRafa', 'Nadal']",Twitter for Android,FALSE
